nb ant: 1, food: 44/50, nest level: 1, nb worker: 1, nb soldier: 0
nb ant: 1, food: 42/50, nest level: 1, nb worker: 1, nb soldier: 0
nb ant: 2, food: 43/50, nest level: 1, nb worker: 2, nb soldier: 0
nb ant: 2, food: 40/50, nest level: 1, nb worker: 2, nb soldier: 0
nb ant: 3, food: 44/50, nest level: 1, nb worker: 3, nb soldier: 0
nb ant: 4, food: 43/50, nest level: 1, nb worker: 4, nb soldier: 0
nb ant: 5, food: 41/50, nest level: 1, nb worker: 5, nb soldier: 0
nb ant: 5, food: 43/50, nest level: 1, nb worker: 5, nb soldier: 0
nb ant: 6, food: 40/50, nest level: 1, nb worker: 6, nb soldier: 0
nb ant: 7, food: 40/50, nest level: 1, nb worker: 7, nb soldier: 0
nb ant: 8, food: 39/50, nest level: 1, nb worker: 8, nb soldier: 0
nb ant: 9, food: 37/50, nest level: 1, nb worker: 9, nb soldier: 0
nb ant: 9, food: 39/50, nest level: 1, nb worker: 9, nb soldier: 0
nb ant: 10, food: 36/50, nest level: 1, nb worker: 10, nb soldier: 0
nb ant: 11, food: 36/50, nest level: 1, nb worker: 11, nb soldier: 0
nb ant: 12, food: 35/250, nest level: 2, nb worker: 12, nb soldier: 0
nb ant: 12, food: 58/250, nest level: 2, nb worker: 12, nb soldier: 0
nb ant: 13, food: 88/250, nest level: 2, nb worker: 13, nb soldier: 0
nb ant: 14, food: 117/250, nest level: 2, nb worker: 14, nb soldier: 0
nb ant: 14, food: 154/250, nest level: 2, nb worker: 14, nb soldier: 0
nb ant: 15, food: 182/250, nest level: 2, nb worker: 15, nb soldier: 0
nb ant: 15, food: 214/250, nest level: 2, nb worker: 15, nb soldier: 0
nb ant: 16, food: 229/250, nest level: 2, nb worker: 16, nb soldier: 0
nb ant: 17, food: 231/250, nest level: 2, nb worker: 17, nb soldier: 0
nb ant: 17, food: 229/250, nest level: 2, nb worker: 17, nb soldier: 0
nb ant: 18, food: 230/250, nest level: 2, nb worker: 18, nb soldier: 0
nb ant: 18, food: 227/250, nest level: 2, nb worker: 18, nb soldier: 0
nb ant: 19, food: 227/250, nest level: 2, nb worker: 19, nb soldier: 0
nb ant: 20, food: 226/250, nest level: 2, nb worker: 20, nb soldier: 0
nb ant: 20, food: 225/250, nest level: 2, nb worker: 20, nb soldier: 0
#31 - a spider attack the colony
the menace kill 0 soldier
the menace kill 3 worker
nb ant: 17, food: 228/250, nest level: 2, nb worker: 17, nb soldier: 0
nb ant: 18, food: 229/250, nest level: 2, nb worker: 18, nb soldier: 0
nb ant: 18, food: 230/250, nest level: 2, nb worker: 18, nb soldier: 0
nb ant: 19, food: 226/250, nest level: 2, nb worker: 19, nb soldier: 0
nb ant: 20, food: 225/250, nest level: 2, nb worker: 20, nb soldier: 0
nb ant: 21, food: 227/250, nest level: 2, nb worker: 21, nb soldier: 0
nb ant: 21, food: 225/250, nest level: 2, nb worker: 21, nb soldier: 0
nb ant: 22, food: 226/250, nest level: 2, nb worker: 22, nb soldier: 0
nb ant: 23, food: 222/250, nest level: 2, nb worker: 23, nb soldier: 0
nb ant: 24, food: 221/250, nest level: 2, nb worker: 24, nb soldier: 0
#41 - a spider attack the colony
the menace kill 0 soldier
the menace kill 6 worker
nb ant: 19, food: 223/250, nest level: 2, nb worker: 19, nb soldier: 0
nb ant: 19, food: 227/250, nest level: 2, nb worker: 19, nb soldier: 0
nb ant: 20, food: 226/250, nest level: 2, nb worker: 20, nb soldier: 0
nb ant: 20, food: 225/250, nest level: 2, nb worker: 20, nb soldier: 0
nb ant: 20, food: 228/250, nest level: 2, nb worker: 20, nb soldier: 0
nb ant: 21, food: 226/250, nest level: 2, nb worker: 21, nb soldier: 0
nb ant: 22, food: 223/250, nest level: 2, nb worker: 22, nb soldier: 0
nb ant: 23, food: 223/250, nest level: 2, nb worker: 23, nb soldier: 0
nb ant: 24, food: 222/250, nest level: 2, nb worker: 24, nb soldier: 0
nb ant: 25, food: 220/250, nest level: 2, nb worker: 25, nb soldier: 0
nb ant: 25, food: 222/250, nest level: 2, nb worker: 25, nb soldier: 0
nb ant: 26, food: 219/250, nest level: 2, nb worker: 26, nb soldier: 0
nb ant: 27, food: 219/250, nest level: 2, nb worker: 27, nb soldier: 0
nb ant: 27, food: 219/250, nest level: 2, nb worker: 27, nb soldier: 0
nb ant: 28, food: 218/250, nest level: 2, nb worker: 28, nb soldier: 0
nb ant: 29, food: 216/250, nest level: 2, nb worker: 29, nb soldier: 0
nb ant: 30, food: 217/250, nest level: 2, nb worker: 30, nb soldier: 0
nb ant: 31, food: 217/250, nest level: 2, nb worker: 31, nb soldier: 0
nb ant: 32, food: 216/250, nest level: 2, nb worker: 32, nb soldier: 0
nb ant: 33, food: 214/250, nest level: 2, nb worker: 33, nb soldier: 0
#61 - a spider attack the colony
the menace kill 0 soldier
the menace kill 2 worker
nb ant: 32, food: 211/250, nest level: 2, nb worker: 32, nb soldier: 0
nb ant: 33, food: 213/250, nest level: 2, nb worker: 33, nb soldier: 0
nb ant: 33, food: 215/250, nest level: 2, nb worker: 33, nb soldier: 0
nb ant: 33, food: 213/250, nest level: 2, nb worker: 33, nb soldier: 0
nb ant: 34, food: 214/250, nest level: 2, nb worker: 34, nb soldier: 0
nb ant: 34, food: 211/250, nest level: 2, nb worker: 34, nb soldier: 0
nb ant: 35, food: 211/250, nest level: 2, nb worker: 35, nb soldier: 0
nb ant: 36, food: 210/250, nest level: 2, nb worker: 36, nb soldier: 0
nb ant: 37, food: 208/250, nest level: 2, nb worker: 37, nb soldier: 0
nb ant: 38, food: 209/250, nest level: 2, nb worker: 38, nb soldier: 0
nb ant: 39, food: 209/250, nest level: 2, nb worker: 39, nb soldier: 0
nb ant: 40, food: 208/250, nest level: 2, nb worker: 40, nb soldier: 0
nb ant: 41, food: 206/250, nest level: 2, nb worker: 41, nb soldier: 0
nb ant: 42, food: 203/250, nest level: 2, nb worker: 42, nb soldier: 0
nb ant: 42, food: 204/250, nest level: 2, nb worker: 42, nb soldier: 0
nb ant: 43, food: 204/250, nest level: 2, nb worker: 43, nb soldier: 0
nb ant: 43, food: 204/250, nest level: 2, nb worker: 43, nb soldier: 0
nb ant: 44, food: 203/250, nest level: 2, nb worker: 44, nb soldier: 0
nb ant: 44, food: 202/250, nest level: 2, nb worker: 44, nb soldier: 0
nb ant: 44, food: 201/250, nest level: 2, nb worker: 44, nb soldier: 0
#81 - a spider attack the colony
the menace kill 0 soldier
the menace kill 6 worker
nb ant: 39, food: 203/250, nest level: 2, nb worker: 39, nb soldier: 0
nb ant: 40, food: 206/250, nest level: 2, nb worker: 40, nb soldier: 0
nb ant: 41, food: 204/250, nest level: 2, nb worker: 41, nb soldier: 0
nb ant: 41, food: 206/250, nest level: 2, nb worker: 41, nb soldier: 0
nb ant: 42, food: 203/250, nest level: 2, nb worker: 42, nb soldier: 0
nb ant: 43, food: 203/250, nest level: 2, nb worker: 43, nb soldier: 0
nb ant: 44, food: 202/250, nest level: 2, nb worker: 44, nb soldier: 0
nb ant: 44, food: 201/250, nest level: 2, nb worker: 44, nb soldier: 0
nb ant: 45, food: 203/250, nest level: 2, nb worker: 45, nb soldier: 0
nb ant: 46, food: 200/250, nest level: 2, nb worker: 46, nb soldier: 0
nb ant: 47, food: 200/250, nest level: 2, nb worker: 47, nb soldier: 0
nb ant: 48, food: 199/250, nest level: 2, nb worker: 48, nb soldier: 0
nb ant: 49, food: 197/250, nest level: 2, nb worker: 49, nb soldier: 0
nb ant: 49, food: 199/250, nest level: 2, nb worker: 49, nb soldier: 0
nb ant: 50, food: 196/250, nest level: 2, nb worker: 50, nb soldier: 0
nb ant: 50, food: 197/250, nest level: 2, nb worker: 50, nb soldier: 0
nb ant: 51, food: 197/250, nest level: 2, nb worker: 51, nb soldier: 0
nb ant: 51, food: 197/250, nest level: 2, nb worker: 51, nb soldier: 0
nb ant: 52, food: 194/250, nest level: 2, nb worker: 51, nb soldier: 1
nb ant: 53, food: 188/250, nest level: 2, nb worker: 51, nb soldier: 2
#101 - a spider attack the colony
the menace kill 1 soldier
the menace kill 3 worker
nb ant: 50, food: 189/250, nest level: 2, nb worker: 49, nb soldier: 1
nb ant: 51, food: 195/250, nest level: 2, nb worker: 50, nb soldier: 1
nb ant: 52, food: 192/250, nest level: 2, nb worker: 51, nb soldier: 1
nb ant: 53, food: 190/250, nest level: 2, nb worker: 51, nb soldier: 2
nb ant: 54, food: 185/250, nest level: 2, nb worker: 51, nb soldier: 3
nb ant: 54, food: 188/250, nest level: 2, nb worker: 51, nb soldier: 3
nb ant: 55, food: 186/250, nest level: 2, nb worker: 52, nb soldier: 3
nb ant: 56, food: 183/250, nest level: 2, nb worker: 53, nb soldier: 3
nb ant: 56, food: 184/250, nest level: 2, nb worker: 53, nb soldier: 3
nb ant: 57, food: 184/250, nest level: 2, nb worker: 54, nb soldier: 3
nb ant: 58, food: 181/250, nest level: 2, nb worker: 54, nb soldier: 4
nb ant: 59, food: 181/250, nest level: 2, nb worker: 55, nb soldier: 4
nb ant: 60, food: 180/250, nest level: 2, nb worker: 56, nb soldier: 4
